Etapa 1,Etapa 2,,,Etapa 3,,,Etapa 4,Etapa 5
"Acho que as experiências de aprendizado mais uteis que tive, foram as presenciais, onde havia um tempo dedicado para aquela atividade e trocas com a turma, e não somente assistir vídeos de cursos.",Atividade/Pratica diária,network,presencial,Aprendizado prático e aplicado,,,,
O Mestrado. Pois ampliou minhas competências ,Educação Formal,,,Educação Formal,,,,
"Mestrado, me mostrou como fazer pesquisa e de como é bom estudar ",Educação Formal,,,Educação Formal,,,,
Pessoas mais experientes do que eu falando e indicando o percurso que vc para chegar ate aquele objetivo e isso contribuiu positivamente para que eu pudesse avaliar alguns conceitos de vida empregados ate aquele momento,Pessoas mais experintes,Troca de conhecimento,,Aprendizado social e networking,,,,
Língua Inglesa,Curso,Ingles,,Curso e Treinamentos,,,,
Inteligência emocional para lidar com conflitos internos e externos. ,softskill,Conflitos,,Desenvolvimento de liderança e soft skills,,,,
Liderança. Porque abriu caminhos para que de fato entrasse nessa área de gestão de pessoas. ,softskill,Liderança,,Desenvolvimento de liderança e soft skills,,,,
Cypress,,,,,,,,
"Um curso de programação em Delphi, ele me abriu as portas para o maior emprego que tive.",Curso,,,Curso e Treinamentos,,,,
empresa liberou acesso total ao alura por 2 meses. Pude buscar o curso que fazia sentido e me qualificar,Curso ,online,Alura,Curso e Treinamentos,,,,
"Investigar e otimizar a performance de um programa Natural que estava lento, como um relatório de fiscalização ou uma consulta de dados veiculares, que afeta a eficiência de um setor inteiro.  Essa foi a experiência mais útil porque não se tratou apenas de escrever código, mas de entender profundamente um problema de negócio e seus impactos. ",Resolver problema,,,Aprendizado prático e aplicado,,,,
"Considerando todo histórico recente, curso de liderança feito ainda no UOL (2019)",Curso,Liderança,,Curso e Treinamentos,Desenvolvimento de liderança e soft skills,,,
"Curso técnico, porque aprendi teoria e prática de assuntos que eu realmente uso no dia a dia",Curso,Teoria,Ativaidade/Pratica,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Palestras com referências da área em que atuo,Palestra,Area de atuação,,Aprendizado social e networking,,,,
"Oportunidade de executar algo sem saber, lendo documentação e executando. Por que a leitura de manual junto com a pratica em um cenario real é o cenario do dia-a-dia",Manual,Atividade/Pratica diária,,Curso e Treinamentos,,,,
"Certificação Microsoft Azure AZ-900, porque me proporcionou um certificado oficial a respeito de uma plataforma bem reconhecida no mercado ",Certificado,Reconhecimento,,Curso e Treinamentos,,,,
"Cursos que estudei para mudança de cargo na empresa, essa experiência foi totalmente focada no aprendizado do novo cargo e logo após a conclusão eu pude aplicar tudo que precisava para adaptar a forma de desenvolvimento e publicação do nosso ambiente. No total foram três cursos com ferramentas diferentes que compuseram o planejamento de estudo.",Curso,Atividade/Pratica diária,,Curso e Treinamentos,,,,
"Provavelmente as minhas próprias, na minha visão faz mais sentido a empresa disponibilizar recursos para que os alunos comprem seus próprios cursos ou fazer vinculos com empresas de cursos como a udemy pois todo curso precisa de aprofundamento, ver e rever, algo que não acontece em cursos ao vivo",Autodidata,,,Aprendizado autodirigido,,,,
"Faculdade e também cursos gratuitos encontrados na internet, eles que me apresentaram e deu inicio a minha carreira e experiência para dar continuidade na área.",Educação Formal,Cursos,online,Curso e Treinamentos,Educação Formal,,,
"Pratica com feedback rápido, gera aprendizado mais eficiente. ",Atividade/Pratica diária,,,Aprendizado prático e aplicado,,,,
Treinamento para a certificação do Databricks data engineer associate. Estou me qualificando para poder obter essa certificação ,Treinamento,Certificado,,Curso e Treinamentos,,,,
Pós graduação ,Educação Formal,,,Educação Formal,,,,
Análise e discussão de cenários reais de problemas ,Atividade/Pratica diária,,,Aprendizado prático e aplicado,,,,
"Faculdade, os fundamentos são essenciais e se não fosse ela não teria buscado.",Educação Formal,,,Educação Formal,,,,
"Treinamento para certificação Mendix. Não houve material de aprendizagem ou coisa parecida. Houve tempo para experimentação. Ou seja, pegar a ferramenta e desenvolver algo com ela. Fora as cerimônias/reuniões, a dedicação era exclusiva para a experimentação.",Treinamento,Tempo para experimentação,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
As experiências mais úteis foram aquela do tipo BootCamp onde preparação inicial e atividades práticas foram utilizadas.,Bootcamp,Atividade/Pratica diária,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
"MBA em Gestão de projetos, foi completamente prático e com profissionais atuantes na área ",Educação Formal,Atividade/Pratica diária,,Educação Formal,Aprendizado prático e aplicado,,,
Certificação de produtos. O certificado ajuda na carreira de desenvolvedor a se posicionar para vagas melhores.,Certificado,Oportunidade,,Educação Formal,,,,
Capacitação em Agilidade e liderança,Capaticação,Liderança,,Educação Formal,Desenvolvimento de liderança e soft skills,,,
"Ser Mentorado, acredito que a melhor experiência vem da passagem de conhecimento.",Mentoria,Passagem de conhecimento,,Aprendizado social e networking,,,,
"Trainee. Pois foram 3 meses de treinamento para termos experiencia para entrar em clientes, e foi muito bem feito.",Treinamento,,,Curso e Treinamentos,,,,
Aprender sobre o mercado e as regras de negócio relacionadas ao produto desenvolvido.,Negócio,,,Aprendizado prático e aplicado,,,,
"Treinamento da AWS. Tinham dinâmicas, jogos, e ambiente para testes.",Treinamento,Praticas diversas,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
"Programa de Trainees (forma na qual entrei na empresa) e foi um intensivão de algumas semanas em que recebia um salário para estudar, e no final alguns colegas mantinham o contrato e continuavam efetivos na empresa. Foi uma experiência surreal pois o conteúdo foi tão bom que seria facilmente um curso pelo qual eu pagaria, e ao invés disso estava sendo remunerado para participar. Acredito que a soma de fatores:
- Ser remunerado (incentivo para dar seu melhor e se manter no final do período).
- Conteúdo excelente, elaborado e apresentado por pessoas que trabalham profissionalmente na área, e não por youtubers vendedores de curso.

Esse investimento e aposta, principalmente pra quem está começando na área, é fundamental. A empresa reconheceu o meu potencial, investiu nisso, e hoje em dia com pouco mais de 2 anos de experiência profissional, estou alocado há pouco mais de 1 ano na Godaddy, uma empresa multi-bilionária americana atuando em nível de Senior praticamente. Meu caso pode ter sido um pouco fora da curva porque dei meu máximo, mas na minha vida fez uma diferença gigantesca.",Treinamento,Incentivo,Conteúdo,Curso e Treinamentos,,,,
Treinamento de programação ,Treinamento,,,Curso e Treinamentos,,,,
"TDC - the developers conference , foi super dinâmico com várias palestras e informações realmente relevantes , além do network.",Conferência,network,,Aprendizado social e networking,,,,
Realização de treinamentos selecionados de forma independente das orientações institucionais.,Treinamentos,Opcional,,Curso e Treinamentos,,,,
Foi microfront-end aliado com figma. Mudou minha visão sobre a área e me ajudou resolver vários problemas na aplicação,Curso,Resolução de problemas,,Curso e Treinamentos,,,,
Em ambiente empresarial nenhuma.,Autodidata,,,Aprendizado autodirigido,,,,
As mais uteis foram na parte de liderança e em uma nova tecnologia que a vaga dentro da empresa pedia.,Curso,Liderança,,Curso e Treinamentos,Desenvolvimento de liderança e soft skills,,,
"Planejamento para a aposentadoria. Me fez começar a investir mensalmente e tomar atitudes conscientes pensando no meu bem estar físico, mental e financeiro futuro.",,,,,,,,
"Uma oficina prática com os consultores da AWS, pois foi um laboratório prático que conectava diretamente com o projeto que estávamos atuando, mas em vias de regra o aprendizado e atualização, sempre partiu de iniciativa própria em minha jornada.",Oficina,Atividade/Pratica diária,Solução de problema,Aprendizado social e networking,Aprendizado prático e aplicado,,,
Cursos oficiais,Curso,,,Curso e Treinamentos,,,,
"Certificação Azure, Certificação GitHub e cursos Alura. Foram fundamentais pois servirá para minha carreira para alem da minha experiência profissional atual.",Certificação,,,Curso e Treinamentos,,,,
"Primeiro curso interno (com parceria externa) sobre liderança, no início da minha formação como líder foi fundamental nessa trajetória subjetiva e muitas vezes desbravada sem método e/ou frameworks de suporte.",Curso,Liderança,,Curso e Treinamentos,Desenvolvimento de liderança e soft skills,,,
Pós graduação em liderança tecnica,Educação Formal,liderança,,Educação Formal,Desenvolvimento de liderança e soft skills,,,
"Em certa ocasião uma empresa que trabalhei ofereceu um curso completo de desenvolvimento ABAP. No final do curso tinha uma prova, e as pessoas com maiores notas na prova seriam contratadas para um programa de treinee ",Curso,Oportunidade,,Curso e Treinamentos,,,,
Dicas avançadas de banco de dados,Passagem de conhecimento,,,Aprendizado social e networking,,,,
Uma mentoria de arquitetura de software. Aprendi muito com rodas de conversas e relatos de pessoas mais experientes que eu ,Mentoria,Troca de experiência,,Aprendizado social e networking,,,,
Cloud,Curso,,,Curso e Treinamentos,,,,
Acredito que foi de liderança e gestão de conflitos ,Curso,Liderança,,Curso e Treinamentos,Desenvolvimento de liderança e soft skills,,,
Cursos complementares. Na qual se pode ter maior foco no seu objetivo de carreira e pessoal,Curso,Carreira,,Curso e Treinamentos,,,,
"Na empresa Voke em que trabalhei por uns meses. Porque durante o período de aprendizado eu aprendi várias coisas na qual eu não tinha conhecimento na prática. E durante esse período na empresa, eu aprendi teoricamente e depois coloquei em prática sendo necessário colocar em prova todo conhecimento que adquiri. ",Atividade/Pratica diária,,,Aprendizado prático e aplicado,,,,
"Oportunidade de gravar cursos na área, auxiliar quem está começando, passar o conhecimento ajuda a fixar ainda mais",Curso,Mentoria,,Curso e Treinamentos,Aprendizado social e networking,,,
"Um curso de C# patrocinado pela empresa. O conteúdo era muito util e prático, daria tempo de estudar, mas o professor era louco e infelizmente o curso se provou pouco útil ",Curso,Atividade/Pratica diária,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Custeamento e treinamento profissional para certificação e voucher para certificação ,Certificação,,,Curso e Treinamentos,,,,
"Faculdade. Acredito que ela não seja obrigatória para o desenvolvimento do professional, mas quando a ementa é bem estrutura, ela auxilia muito o desenvolvimento academia e profissional da pessoa. Além de ser uma aprendizagem muitas das vezes mais genérica dentro de uma área, ela permite com que o aluno possa se especializar, se houver tempo ou interesse. Por fim, vale mencionar o modelo de aprendizado, as vezes, em conjunto e permite com que a pessoa possa compartilhar ideias, criar uma rede de relacionamento profissional e experimentar áreas sem de fato se profissionalizar. 

No meu caso por ser bolsista, acredito que o onus do custo tenha sido ainda mais um diferencial.",Educação Formal,Troca de conhecimento,network,Educação Formal,Aprendizado social e networking,,,
"Certificações Microsoft, para conhecimento pessoal e evolução corporativa",Certificação,,,Curso e Treinamentos,,,,
"Treinamentos TFTEC, variados, sempre com foco em Microsoft Azure.",Treinamentos,,,Curso e Treinamentos,,,,
"Mba gestão de projetos, porque abriu meus horizontes ",educação Formal,,,Educação Formal,,,,
"Foram várias ao longo dos mais de 10 anos que já tenho na área, mas creio que as recentes de desenvolvimento de habilidades de liderança foram as mais úteis, uma vez que é uma área na qual eu tinha mais dificuldades.",Treinamentos,Liderança,,Educação Formal,Desenvolvimento de liderança e soft skills,,,
"Ao longo da minha trajetória na Engenharia de Software, tive a oportunidade de vivenciar uma série de experiências que moldaram minha formação técnica, minha postura profissional e minha capacidade de resolver problemas complexos. Essas vivências foram fundamentais para consolidar meu aprendizado e me preparar para os desafios do mercado.
",Resolução de problemas,,,Aprendizado prático e aplicado,,,,
"
Trabalhar no Jornal de Brasília, com sistemas de alta disponibilidade, e em projetos de endestésios, com foco em segurança e compliance, foram experiências que mais impactaram minha carreira. Aprendi a importância de projetar sistemas resilientes, seguros e escaláveis, reforçando meu olhar para qualidade, automação e arquitetura sustentável.",Resolução de problemas,,,Aprendizado prático e aplicado,,,,
Um curso focado em toda a esteira de desenvolvimento e deploy da minha empresa. Foi muito importante para o meu dia a dia e me agregou muitos conhecimentos como profissional individualmente.,Curso,Atividade/Pratica diária,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
"Automação com K6, pois além de testes de software backend ele permite integração com banco de dados e mensagerias",Treinamentos,,,,,,,
"Uso da AWS com um consultor, pois me permitiu explorar e avançar em conteúdos de programação em Nuvem o que é algo que eu mexo muito atualmente.",Mentoria,,,Aprendizado social e networking,,,,
curso de aws(Principalmente pelo inicio no qual cloud estava tendo avanço poder entender isso ajudou muito minha carreira),Curso,Oportunidade,,Curso e Treinamentos,,,,
"Cursos sobre assuntos específicos, pois eles ajudam no dia a dia no trabalho",Curso,Atividade/Pratica diária,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Introdução à IA. Ajudou a dar o primeiro passo para se atualizar nos conceitos básicos.,Curso de IA,,,Curso e Treinamentos,,,,
Desenvolvimento de software ,,,,,,,,
GCP,,,,,,,,
Sobre aprendizado de IA e como devo atuar junto com ela. Pq é uma ferramenta que aumenta a minha produtividade e qualidade,Curso de IA,Produtividade,,Curso e Treinamentos,,,,
"Pessoalmente demandas reais foram os que mais me ensinaram, porém além disso, houvam cursos que me ajudaram em problemas específicos.",Atividade/Pratica diária,Curso,,Curso e Treinamentos,,,,
"Cursos numa plataforma paga pela empresa.Pelo custo da ferramenta, que não poderia fazer , se fosse para eu pagar. ",Curso,,,Curso e Treinamentos,,,,
"Curso Pentest , adquirir conhecimento nesse tipo de teste",Curso,,,Curso e Treinamentos,,,,
"Participei do congresso Agile Testing days em Berlim, Alemanha. ",Congresso,,,Aprendizado social e networking,,,,
Um treinamento sobre SOLID. Era uma deficiência pessoal de conhecimento que tinha.,Treinamento,,,Curso e Treinamentos,,,,
Desenvolvimento em Data Engineer e Data Science,Solução de problemas,,,Aprendizado prático e aplicado,,,,
Graduação,educação Formal,,,Educação Formal,,,,
MBA,educação Formal,,,Educação Formal,,,,
Certificações de Comunicação não violenta que me ajudou a melhorar a conversa com os pares e times,Certificado,Soft skill,,Curso e Treinamentos,Desenvolvimento de liderança e soft skills,,,
"Pós graduação na área de ciência de dados abriu novas portas nesse universo, criando network e aprofundando meus conhecimentos",educação Formal,network,,Educação Formal,Aprendizado social e networking,,,
Conteúdo de IA,Conteúdo de IA,,,Curso e Treinamentos,,,,
Usar IA no dia a dia.,Conteúdo de IA,Atividade/Pratica diária,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Pos graduação. Me proporcionou uma visão empresarial das.necessidades de aplicar de conceitos,educação Formal,Conceitos,,Educação Formal,,,,
Aprender novas tecnologias ,,,,,,,,
Sobre nossas fortalezas,,,,,,,,
Processos: tanto a elucidação como a aplicação de cerimônias e práticas de eng de software.,Atividade/Pratica diária,,,Aprendizado prático e aplicado,,,,
Treinamentos internacionais. Pela troca de experiência com pessoas qualificadas.,Treinamento,Troca de experiência,,Curso e Treinamentos,Aprendizado social e networking,,,
Doutorado,educação Formal,,,Educação Formal,,,,
"AWS cloud practitioner, me deu uma ótima noção da infra cloud e uma boa noção de Dev serverless",Certificado,,,Curso e Treinamentos,,,,
Bootcamp de cloud (aws),Bootcamp,,,Curso e Treinamentos,,,,
Todas as de automação de testes e o curso de como administrar processos no Jira. Os primeiros me deram velocidade e o segundo me deu tudo o que entendo de organização de projetos e produtos organizados em um ambiente ágil e foi ministrado pelo meu colega de trabalho que é fera em processos.,Produtividade,,,Curso e Treinamentos,,,,
Estágio,Treinamento,,,Curso e Treinamentos,,,,
MBA em gestão de projetos pela FGV.,educação Formal,,,Educação Formal,,,,
Palestras dos próprios colegas de trabalho. Pois são coisas uteis,Palestras,Utilidade,,Aprendizado social e networking,,,,
"Compartilhar conhecimento, pois pude contribuir com o desenvolvimento de outras pessoas. ",Compartilhar conhecimento,,,Aprendizado social e networking,,,,
Formação backend - Alura. Me proporcionou conhecimentos técnicos em micros serviços,Curso,,,Curso e Treinamentos,,,,
N/A,,,,,,,,
"Pós graduação, por ser uma abordagem mais sucinta, onde considera-se que o aluno já tem conhecimento prévio e foca em temas mais relevantes para esse público.",educação Formal,,,Educação Formal,,,,
Designing Data-Intensive Applications Overview pela UFSCAR,,,,,,,,
"Participar da ERBASE 2025. Foi uma oportunidade de 3 dias recheadas de palestras e workshops, com diversos temas.",Palestra,workshop,,Aprendizado social e networking,,,,
"Power Skills, copilot e agentes",Inteligencia artificial,,,Curso e Treinamentos,,,,
"Treinamentos oficiais de tecnologia (AWS, MongoDB) Pois me permitiu expandir horizontes",Treinaemnto,,,Curso e Treinamentos,,,,
Participei da jornada de líderes do santander,Liderança,,,Desenvolvimento de liderança e soft skills,,,,
"Fast - Engenharia de plataforma, Porque mostrou onde devo me qualificar para chegar no meu objetivo (DevOps)",,,,,,,,
Certificação AWS e workshop de segurança em aplicação nativas de nuvem,Certificado,,,Curso e Treinamentos,,,,
"Participacao de eventos no campus da universidade. Onde a empresa permitiu que eu tivesse participacao no evento. Me ajudou a entender e ter uma visao abrangente sobre a area de IA, TI e etc.",Evento,,,Aprendizado social e networking,,,,
"Treinamento do tipo bootcamp, onde havia atividades pre-treinamento e praticas durante.",Bootcamp,Atividade/pratica diaria,,Curso e Treinamentos,Aprendizado prático e aplicado,,,
Meu MBA em gestao de projetos,educação Formal,,,Educação Formal,,,,
A mais relevante que eu ja fiz foi um curso pra pessoas líderes que usava insumos da Gallup e o método CliftonStrenghts. Foi muito útil e legal aprender essas teorias sobre habilidades e como aplicar no dia a dia.,Curso,Liderança,,Curso e Treinamentos,Desenvolvimento de liderança e soft skills,,,
Pós graduação em arquitetura de software. Pude conectar os conceitos aprendidos no curso com minha experiência profissional,educação Formal,,,Educação Formal,,,,
Pós que eu mesmo banquei,educação Formal,,,Educação Formal,,,,
Tech manager 5.0 strides,Curso,,,Curso e Treinamentos,,,,
"Treinamento para integração na Área da Tecnologia, isso abriu as portas para este mercado.",Treinamento,Oportunidade,,Curso e Treinamentos,,,,
"Curso virtual de NLP, voltado ao aprendizado de algoritmos de aprendizado de máquina. Porque foi retornado em implementação de novas features para o projeto da equipe.",Curso,,,Curso e Treinamentos,,,,
"Foi ler o livro "" Sistema de banco de dados"" de ""Abraham Silberschatz"". A leitura me proporcionou conhecimento sobre como os bancos de dados funcionam e despertou minha curiosidade para entender como o PostgreSQL, SGBD que usávamos no projeto em que trabalhava à época, aplicava os conceitos que estudei.

A forma como lido com banco de dados na minha profissão, deste então, é mais crítica e eficiente.  ",Livro,Solução de problemas,,Aprendizado prático e aplicado,,,,
Certificados e cursos de IA.,Certificado,IA,,Educação Formal,,,,
Treinamento de IA. Pois possibilitou aplicar o conhecimento na empresa e em outras áreas profissionais em qual atuo,Treinamento,,,Educação Formal,,,,
"Foi alguns treinamentos para entender sobre um produto, o funcionamento e as regras, teve uma duração boa, o conteudo era ok, mas nao teve muito impacto no dia a dia porque era mais superficial do que era necessario para desenvolver.",Treinamento,,,Curso e Treinamentos,,,,
"Difícil responder, mas acredito que foi uma talk sobre multi-tenancy, na qual era um tópico quente na minha empresa e que muitas poucas pessoas tinham enfrentado esse desafio anteriormente.",Troca de conhecimento,Solução de problemas,,Aprendizado social e networking,Aprendizado prático e aplicado,,,
"Estudar React na Udemy, por que estava fazendo a transição de linguagem.",Curso,,,Curso e Treinamentos,,,,
"Sempre foi mais voltado para segurança, sendo assim, é útil, mas gostaria de mais coisas, até mesmo voltado para certificações como AWS",Certificado,,,Curso e Treinamentos,,,,
"A experiência de aprendizado mais útil que já tive foi participar de uma roda de conversa ao vivo com vários profissionais
Essa experiência foi importante porque me fez sair da zona de conforto, desenvolver novas habilidades e perceber o quanto o aprendizado acontece na prática. Além disso, pude aplicar o que aprendi em situações reais, o que consolidou muito mais o conhecimento.",Troca de conhecimento,,,Aprendizado social e networking,,,,
