Etapa 1,Codigo_1,Codigo_2,Codigo_3,Codigo_4,Codigo_5,Tema_1,Tema_2,Tema_3
"Partindo do meu princípio de aprendizado, eu sugeria a implementação de oficinas práticas. Colocar a mão na massa, na minha visão, transforma significativamente a experiência de aprendizado, tornando-a muito melhor. Junto com feedback rapido torna a experiencia poderosa.",Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
A viabilização de condições de tempo para executar os treinamentos,Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
"Falando de mercado de trabalho, um maior alinhamento entre as experiências da vida real e o conteúdo do que está sendo ensinado",Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Acho que poderia ser algo mais palpável, algo mais prático e não só teoria. Gosto de praticar e aplicar o que aprendi",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Toda teoria é de muito importância, mas quando aplicada na pratica é potencializada ainda mais. Acredito que a melhoria é sempre encontrar o meio termo entre teoria e pratica de uma forma que desbloqueio o processo de aprendizagem e fixação da pessoa.",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"conteúdos mais humanos, sem vídeos soltos, slides com musiquinhas e conteúdos genéricos rasos.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Ser mais focado na realidade das empresas,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Acredito que trazendo a complexidade real do dia a dia nos exemplos e juntando aos conceitos teóricos. Ensinando a pensar da maneira direcionada ao conteúdo.,Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Identificar a demanda interna da empresa > identificar a hard skill associada > Aplicar Teoria (conceitos) + Labs ""mão na massa"" + Certificado. Ex: A empresa precisa criptografar seu serviço de mensageria Kafka. A partir daí, solicita-se um treinamento do Confluent Kafka. Após os conceitos iniciais sobre como a tecnologia funciona, criar laboratórios para aplicar mTLS em ambientes simulados e depois certificar o treinamento",Pratica / Hands-on,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Acredito que sugerir cursos q sejam do interesse do colaborador e não cursos obrigatórios sem sentido,Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Que seja mais no padrão hands on.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Entender quais temas são interessantes para treinar os funcionários e ter treinamentos mais aplicados.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Permitir que os alunos escolham algumas matérias ou projetos de acordo com seus interesses, e isso só acontece no final da graduação.",Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Conversar com o time, entender as necessidades e só então disponibilizar cursos que atendam ao time.",Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
escolha do tópico e tempo requerido,Tempo dedicado,Alinhamento / Personalizacao,,,,Tempo e condicoes estruturais para aprendizagem,Aplicabilidade prática e alinhamento às necessidades,
"Demonstrar o aprendizado em contextos reais, além dos exemplos dados.",,,,,,,,
"Para alguns assuntos, é preciso uma base prévia de estudo. Talvez a falta de um conhecimento base, torne algo mais difícil do que realmente deveria ser.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Que ele fosse realizado com certa constância,Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
Avaliar primeiramente o interesse da pessoa em relação ao tema a ser aprendido. Além disso planejar atividades práticas e investir em boa didática do instrutor.,Pratica / Hands-on,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Apoio e suporte para participação nesses eventos.,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
Consultar o time quais experiências profissional de interesse são relevante para o trabalho.,Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Uma volta ao ambiente clássico de aprendizado, menos interação e mais conteúdo.",Didatica / Instrutor / Material,Interacao / Mentoria,,,,Qualidade pedagogica didatica e organizacao,Interacao mentoria e troca social,
Acredito que as empresas as vezes apenas dão o incentivo financeiro e/ou de tempo (liberando o colaborador) mas não reconhecem o esforço nem apresentam para a empresa como um todo para que possa servir de incentivo para os demais colegas.,Tempo dedicado,Incentivo / Reconhecimento,,,,Tempo e condicoes estruturais para aprendizagem,Incentivos reconhecimento e apoio institucional,
Sem comentários!,,,,,,,,
Sugeriria Cursos e Treinamentos com material mais robusto de forma a aprofundar mais o conhecimento.,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Processo mais dinâmicos, talvez gamificações.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Por mais que a empresa incentive a participação, os prazos do projeto continuam os mesmos e sempre tem reuniões importantes que não podem ser desmarcadas. O ideal seria ter um tempo reservado para estudos, onde nesse tempo apenas o estudo fosse o foco",Tempo dedicado,Incentivo / Reconhecimento,,,,Tempo e condicoes estruturais para aprendizagem,Incentivos reconhecimento e apoio institucional,
identificar o nível de conhecimento da pessoa naquele processo. Pois acontece do treinamento ser muito avançado para quem aind anão sabe o básico ou muito básico para quem já tem um conhecimento.,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Permitir que seja utilizado um tempo maior do expediente para se dedicar aos processos de aprendizado,Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
"Embora seja dado um tempo considerável para a realização dos cursos, temos que saber administrar com a carga horaria do trabalho. Talvez um tempo unicamente dedicado para os treinamentos fosse a melhor alternativa",Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
Organização geral.,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Adaptação ao contexto do aluno.acredito que com isso ele aprende mais fácil e percebe mais facilmente como aplicar aquele conhecimento,,,,,,,,
"Acredito que a dinamica adotada por varios profissionais dessa area são ultrapassados e precisam ser revistos, e muitas pessoas somente falam e teorizam muitas coisas sem ter passados ou experimentado aquilo na pratica e isso não mostrar o dominio pleno sobre o assunto em questão.",Pratica / Hands-on,Didatica / Instrutor / Material,Interacao / Mentoria,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,Interacao mentoria e troca social
Contagem de pontuação por skill e apresentação automática da pontuação no perfil do colaborador,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
Tempo para aprendizado.,Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
Alinhamento entre líder e liderado sobre o que pode agregar valor para ambas as partes e liberar o colaborador para poder focar seu tempo nesse aprendizado.,Tempo dedicado,Alinhamento / Personalizacao,Interacao / Mentoria,,,Tempo e condicoes estruturais para aprendizagem,Aplicabilidade prática e alinhamento às necessidades,Interacao mentoria e troca social
"Creio que seria importante proporcionar atividades práticas de caráter mais aberto, que obrigue o estudante a pensar e buscar resolver os problemas amparado pelo conteúdo do curso, e não somente seguir etapas de um passo a passo em um ambiente virtual.",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Que o horário dos cursos pudessem ser divididos entre o horário do trabalho e o horário de descanso.,Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
"Práticos e objetivos, e com analogias para facilitar o entendimento.",Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
acesso a ferramentas e plataformas que realmente fornecem cursos relevantes,Alinhamento / Personalizacao,Incentivo / Reconhecimento,,,,Aplicabilidade prática e alinhamento às necessidades,Incentivos reconhecimento e apoio institucional,
"Para cada nova demanda ou bug, a equipe se reuniria para entender o problema a fundo. Um desenvolvedor menos experiente poderia ser o responsável por investigar e propor a solução, com o apoio de um profissional sênior. O aprendizado acontece na prática, ao navegar pelo código, consultar o banco de dados e entender a lógica de negócio.",Pratica / Hands-on,Alinhamento / Personalizacao,Incentivo / Reconhecimento,Interacao / Mentoria,,Aplicabilidade prática e alinhamento às necessidades,Incentivos reconhecimento e apoio institucional,
"Turmas menores, humanização e individualizado, fugir da sanha da escala",Interacao / Mentoria,,,,,Interacao mentoria e troca social,,
Fazer dinâmicas para que as pessoas terem tempo de construir o conhecimento e um senso crítico,Tempo dedicado,Didatica / Instrutor / Material,,,,Tempo e condicoes estruturais para aprendizagem,Qualidade pedagogica didatica e organizacao,
Fazer pesquisas antes se são úteis ou não,,,,,,,,
Conduzir pessoas a aprenderem sozinhas baseado em problemas reais,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Aprendizados gratuitos para quem já está pagando pela certificação,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
Evolução gradual na passagem de conteúdo alinhado com a prática,Pratica / Hands-on,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Sempre buscar com que o aluno estude e se prepare antes para ir assistir a aula com as dúvidas e um conhecimento base do assunto, isso ajuda a aula ser mais focada em reforçar o conhecimento aprendido e não um simples projeto de alguém ensinar e todos aprenderem naquele momento do repasse do conteúdo. Uma carga prévia de conhecimento é sempre melhor para o desenvolvimento do assunto.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Oferecer recursos para que os funcionários comprem seus próprios cursos,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
"Não tenho sugestões no momento, mas manter o profissionalismo e ficar por dentro das novas tecnologias.",,,,,,,,
Instrutores mais qualificados e laboratórios com foco em cenários do mundo real.,Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Mais dinamismo,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Seleção de temas mais pertinente aos interesses da empresa.,Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Ter tempo exclusivo para o novo aprendizado. Muitas das vezes, o colaborador tem que dedicar seu tempo fora do expediente.",Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
Material de estudos para refazer os exemplos no pós aula,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Para mim funcionam melhor treinamentos presenciais que tenha justamente uma carga de trabalho anterior para preparação para o novo conteúdo e adicionar atividades práticas durante o treinamento.,Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Curso refente a atividade que vem fazendo e levando casos reais do dia a dia pra atividade em curso,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Conteúdo pratico, não na massa, sempre capta mais atenção dos participantes e deixa tudo mais dinâmico.",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Aprendizado prático.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Um melhor direcionamento focado em atingir seus objetivos alinhados com os da empresa,Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"No momento, nao tenho nada a acrescentar",,,,,,,,
"Disponibilizar material assíncrono mas manter também, aulas ao vivo para debate e dúvidas.",Didatica / Instrutor / Material,Interacao / Mentoria,,,,Qualidade pedagogica didatica e organizacao,Interacao mentoria e troca social,
Mais dinâmicas e aplicabilidade ajudam muito para fixar o conteúdo.,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Combinar diversas técnicas e abordagens, unindo teoria e prática",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Incentivos, seja bonificação, ou o que for, mas incentivar as pessoas a quererem ser melhores. É comum muitas pessoas se conformarem com o nível atual, então não dá pra forçar todo mundo a querer ir atrás, mas acho que quanto mais incentivos, melhor. Porém, é um pouco difícil de se ""medir"" aprendizado e quanto uma pessoa sabe.",Didatica / Instrutor / Material,Incentivo / Reconhecimento,,,,Qualidade pedagogica didatica e organizacao,Incentivos reconhecimento e apoio institucional,
Algo baseado na prática de funções da empresa.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Menos aulas pre gravadas , e mais ao vivo.",Interacao / Mentoria,,,,,Interacao mentoria e troca social,,
Instrutores com melhores didáticas e materiais mais atuais,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Verificar a real necessidade dos aprendizados empresariais, junto a despertar interesse no publico alvo ao invés de ser obrigado pela empresa.",Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Mais tempo e clareza, já tem isso de forma tranquila, mas mais tempo seria interessante.",Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
Seria bom ter acesso a mais atividades remotas promovidas pelas universidades para tornar o conhecimento mais acessível e que também fosse possível participar de eventos presenciais financiados pelo empregador.,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
"Ouçam os profissionais, recompense-os, abram espaço para inovações internas (mas sejam justos ao recompensar).",Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
"Atividades práticas, incentivo ao compartilhamento de aprendizado",Pratica / Hands-on,Incentivo / Reconhecimento,,,,Aplicabilidade prática e alinhamento às necessidades,Incentivos reconhecimento e apoio institucional,
Melhorar o processo de reembolso para certificação,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
Certificar que o aprendizado é condizente com algo que precise ser desenvolvido e que isso de fato tem aplicabilidade no dia a dia. Garantir que o método tenha dinamismo para ganhar o foco das pessoas. Evitar pre-reads textuais muito longos e densos.,Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Conteudos curtos e divididos com focos em casos reais,Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Maior foco em treinamentos práticos.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Aliar melhoria necessária e afinidade do colaborador com as necessidades do dia a dia,Pratica / Hands-on,Alinhamento / Personalizacao,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Foco em aplicações práticas no dia a dia e menos teoria. Não que o segundo não seja importante, mas treinamentos costumam ter carga horária muito curta. O treinamento pode passar as referências bibliográficas para quem tiver interesse em aprofundamento",Pratica / Hands-on,Tempo dedicado,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,Aplicabilidade prática e alinhamento às necessidades,Tempo e condicoes estruturais para aprendizagem,
"Dar a possibilidade dos colaboradores da empresa sigerirem temas que sejam de multuo interesse, tanto deles como da empresa",Alinhamento / Personalizacao,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Casos reais que podem ser integradas junto ao aprendizado.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"depende, se for obrigatórios acho que seria importante demonstrar aos funcionários o porquê é importante e casos que aconteceram (na empresa ou no mercado) que foram evitados ou ocorridos por conta dos treinamentos obrigatórios. Em caso de aprendizados de melhoria de carreira, acredito que a flexibilização das normas de adquirir são o ponto chave para que o colaborador tenha maior leque de cursos disponíveis no mercado. Do que deixar a instituição “escolher” um leque padrão para todos.",Pratica / Hands-on,Alinhamento / Personalizacao,,,,Aplicabilidade prática e alinhamento às necessidades,,
"- Organização; - Plataforma acessível, objetiva e clara para treinar os funcionários; - Ensino de qualidade com profissionais qualificados e que tenham uma boa dicção para tratar de assuntos específicos; - Profissional claro e direto, sem enrolações; - Determinar um horário do expediente para realizar o estudo e não em casa;",Tempo dedicado,Didatica / Instrutor / Material,,,,Tempo e condicoes estruturais para aprendizagem,Qualidade pedagogica didatica e organizacao,
Possibilidade de fazer remoto como é o formato de trabalho,,,,,,,,
"Professores dispostos a ensinar. Ensinar leva tempo, dê tempo ao professor preparar material e aulas. Muitas vezes o professor é sobrecarregado",Tempo dedicado,Didatica / Instrutor / Material,,,,Tempo e condicoes estruturais para aprendizagem,Qualidade pedagogica didatica e organizacao,
Algo que e pouco valorizado mas e de extremo valor para um processo de aprendizagem são livros e guias de referências,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Utilizar alguma metodologia de aprendizado, técnica de revisão espaçada e também ter pequenos objetivos para incentivar a pessoa no processo de aprendizagem",Incentivo / Reconhecimento,Interacao / Mentoria,,,,Incentivos reconhecimento e apoio institucional,Interacao mentoria e troca social,
Neutro,,,,,,,,
Mais laboratórios práticos.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Subsidio,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
"Não tenho uma melhoria, mas considero fundamental a reserva e dedicação de tempo durante o horário de trabalho para que as pessoas se dediquem ao desenvolvimento e aprendizado, tanto quanto a autonomia para encontrar a melhor forma que funciona para cada um, aliada a orientações que propiciem que as pessoas pratiquem no dia a dia",Pratica / Hands-on,Tempo dedicado,,,,Aplicabilidade prática e alinhamento às necessidades,Tempo e condicoes estruturais para aprendizagem,
"Desenvolvimento de habilidades multidisciplinares: Projetos exigem não só codificação, mas também comunicação, gestão de tempo, documentação e testes — habilidades essenciais no mercado.",Tempo dedicado,Didatica / Instrutor / Material,,,,Tempo e condicoes estruturais para aprendizagem,Qualidade pedagogica didatica e organizacao,
"Eu sugeriria integrar o aprendizado à rotina, com trocas regulares, mentorias e estudos de caso reais. Assim, o conhecimento não ficaria restrito a treinamentos pontuais, mas se tornaria parte do dia a dia dos",Pratica / Hands-on,Alinhamento / Personalizacao,Interacao / Mentoria,,,Aplicabilidade prática e alinhamento às necessidades,Interacao mentoria e troca social,
Processos de aprendizado mais focados em ganhos do nosso dia a dia,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Mais matérias em português,,,,,,,,
A Existência de incentivo maior por parte da empresa,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
sempre ir de mente aberta e aprender tudo que puder,,,,,,,,
"Que os cursos sejam menos generalistas, pois o conteúdo é facilmente encontrado nos mecanismos de pesquisas gratuitos da internet e mais focados na atuação de cada área da empresa.",Didatica / Instrutor / Material,Incentivo / Reconhecimento,,,,Qualidade pedagogica didatica e organizacao,Incentivos reconhecimento e apoio institucional,
Mais apoio de pessoas mais experientes,Incentivo / Reconhecimento,Interacao / Mentoria,,,,Incentivos reconhecimento e apoio institucional,Interacao mentoria e troca social,
Não sei,,,,,,,,
"Ser mais prático, voltado a coisas do dia a dia do trabalho",Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"Do meu ponto de vista e experiência empírica, a forma mais eficiente de aprendizado dentro de uma organização é a criação de um processo focado nos conhecimentos e habilidades necessários para o papel proposto, com acompanhamento, apoio e ajustes frequentes para possibilitar o desenvolvimento de todas as habilidades necessárias.",Didatica / Instrutor / Material,Incentivo / Reconhecimento,,,,Qualidade pedagogica didatica e organizacao,Incentivos reconhecimento e apoio institucional,
"Tempo dentro do expediente, reservado para este aprendizado.",Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
"adequar o tempo de duração do curso com o conteúdo programado, pois inserir muito conteúdo para ser absorvido em curto prazo, sem revisão do assunto e aulas práticas gera frustração",Pratica / Hands-on,Tempo dedicado,Didatica / Instrutor / Material,Interacao / Mentoria,,Aplicabilidade prática e alinhamento às necessidades,Tempo e condicoes estruturais para aprendizagem,Qualidade pedagogica didatica e organizacao
"No processo era uma enxurrada de palestras simultâneas, o que deixa cansativo e fica difícil de acompanhar tudo.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
"Torná-los mais orientados a problemas reais do dia a dia de trabalho, ou a necessidades/dificuldades concretas do time como um todo.",Pratica / Hands-on,Alinhamento / Personalizacao,,,,Aplicabilidade prática e alinhamento às necessidades,,
não tenho,,,,,,,,
Ter professores capacitados,Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Reduzir tempo de trabalho para adaptar o aprendizado,Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
Aumentar a verba de capacitação.,Incentivo / Reconhecimento,,,,,Incentivos reconhecimento e apoio institucional,,
Conteúdos com respostas diretas as necessidades,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Ligar intimamente o PDI a progressão de carreira dentro da organização.,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Uma forma de pôr em prática logo próximo aos treinamentos.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Mais prática,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
Realizar os processos de aprendizado durante o período de expediente,Tempo dedicado,,,,,Tempo e condicoes estruturais para aprendizagem,,
"Na minha venture atual, não tenho nenhuma queixa, pois o conteúdo prende a atenção do começo ao fim, mesmo nos cursos obrigatórios.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Líder lado a lado,Interacao / Mentoria,,,,,Interacao mentoria e troca social,,
"Muita aplicação pratica para todo conhecimento aprendido. Sempre deve ser explorada a prática, porque nem sempre todos os participantes estão no mesmo nível de conhecimento ou possuem compreensões diferentes. As experiências práticas aplicadas no treinamento os ajudam a nivelar todos. Além de tornar mais fácil o aprendizado.",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
Tirar cursos obrigatórios inúteis (compliance etc),,,,,,,,
Mais interação e envolvimento de todas as partes que vão participar do processo.,Interacao / Mentoria,,,,,Interacao mentoria e troca social,,
"O material de aprendizado na grande maioria dos casos é apenas um compliance para a emissão de algum certificado a nível empresarial. Pouco interessa se os trabalhadores extraíram algum conhecimento importante ou não. Não tenho ideias de como tornar processos de aprendizados empresariais úteis, porque na minha experiência, nunca houve u treinamento realment útil e personalizado para minha área de atuação.",Pratica / Hands-on,Alinhamento / Personalizacao,Didatica / Instrutor / Material,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
"Cursos mais objetivos, com materiais escritos que condizem com as aulas, ao invés de ofertar um material que não possui as informações das aulas, deve haver sinergia entre todas as fontes disponibilizadas.",Didatica / Instrutor / Material,,,,,Qualidade pedagogica didatica e organizacao,,
Mais laboratórios práticos.,Pratica / Hands-on,,,,,Aplicabilidade prática e alinhamento às necessidades,,
"O processo de aprendizagem deve ser mais mão na massa, mais prática e menos teoria.",Pratica / Hands-on,Didatica / Instrutor / Material,,,,Aplicabilidade prática e alinhamento às necessidades,Qualidade pedagogica didatica e organizacao,
